GENESIS-Tabelle: 23211-0001
Gestorbene: Deutschland, Jahre, Todesursachen, Geschlecht;;;;;;;;;;;
Todesursachenstatistik;;;;;;;;;;;
Deutschland;;;;;;;;;;;
Gestorbene (Anzahl);;;;;;;;;;;
;;Jahr;Jahr;Jahr;Jahr;Jahr;Jahr;Jahr;Jahr;Jahr;Jahr
;;2019;2019;2020;2020;2021;2021;2022;2022;2023;2023
;;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht
;;männlich;weiblich;männlich;weiblich;männlich;weiblich;männlich;weiblich;männlich;weiblich
TDU-01;Bestimmte infektiöse und parasitäre Krankheiten;7895;8299;7362;7723;7355;7515;8662;8685;9096;9289
TDU-011;Tuberkulose einschließlich ihrer Folgezustände;182;104;167;108;161;106;160;123;161;96
TDU-012;Meningokokkeninfektion;12;8;8;9;8;7;7;8;16;14
TDU-013;Virushepatitis;338;246;282;241;307;204;308;198;285;153
TDU-014;HIV-Krankheit;232;53;231;41;176;42;209;55;228;45
TDU-02;Neubildungen;129282;110309;129916;109636;127968;109192;129140;110808;127959;110663
TDU-021;Bösartige Neubildungen (BN);125191;106127;125891;105380;124006;105062;124992;106541;123840;106452
TDU-02101;BN der Lippe, der Mundhöhle und des Pharynx;3888;1479;3955;1397;3796;1421;3761;1462;3768;1428
TDU-02102;BN des Ösophagus;4510;1332;4556;1398;4444;1368;4580;1388;4530;1354
TDU-02103;BN des Magens;5099;3428;5032;3321;4976;3320;4826;3164;4672;3136
TDU-02104;BN des Dickdarms;8138;7692;8235;7457;7820;7252;7812;7133;7530;7149
TDU-02105;BN des Rektums, des Anus und am Rektosigmoid;4733;3404;4771;3262;4744;3049;4690;3231;4609;3241
TDU-02106;BN der Leber, der Gallenwege und des Pankreas;16794;14318;16862;14357;16708;14286;16618;14251;16944;14350
TDU-02107;BN der Leber und der intrahepatischen Gallengänge;5519;2649;5676;2781;5455;2692;5378;2797;5532;2852
TDU-02108;BN des Pankreas;9584;9638;9448;9474;9570;9602;9619;9585;9739;9677
TDU-02109;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;29099;17212;28821;17264;28332;17608;28329;18295;27671;18537
TDU-02110;BN der Bronchien und der Lunge;27858;16989;27732;17054;27200;17401;27138;18071;26596;18337
TDU-02111;Melanom und sonstige bösartige Neubild. der Haut;2420;1677;2395;1593;2406;1700;2607;1814;2642;1859
TDU-02112;Bösartiges Melanom der Haut;1789;1232;1778;1162;1692;1236;1853;1293;1851;1318
TDU-02113;BN der Brustdrüse;193;18519;166;18425;157;18479;213;18891;186;18527
TDU-02114;BN der Genital- und Harnorgane;25714;16267;26202;16489;25989;16181;26732;16288;26425;16288
TDU-02115;BN der Cervix uteri;-;1597;-;1546;-;1535;-;1528;-;1413
TDU-02116;BN des Corpus uteri u. Uterus, Teil n.n. bezeichn.;-;2659;-;2758;-;2634;-;2798;-;2734
TDU-02117;BN des Ovars;-;5291;-;5265;-;5379;-;5096;-;5223
TDU-02118;BN der Prostata;15040;-;15403;-;15379;-;15590;-;15196;-
TDU-02119;BN der Niere, ausgenommen Nierenbecken;3230;1920;3121;2034;3070;1790;3029;1920;3096;1846
TDU-02120;BN der Harnblase;3824;1814;3942;1935;3891;1852;4169;1873;4133;1945
TDU-02121;BN d. lymphat., blutbild. u. verwandten Gewebes;10851;8866;11246;8815;11167;8725;10947;8649;11141;8673
TDU-02122;Leukämie;4590;3670;4784;3573;4674;3530;4624;3571;4768;3540
TDU-022;Gutartige Neubildungen;322;507;354;481;371;396;371;505;402;520
TDU-03;Krankheiten des Blutes u. der blutbildenden Organe;1611;2183;1978;2413;2078;2632;2291;2914;2333;2907
TDU-04;Endokrine, Ernährungs- u. Stoffwechselkrankheiten;15300;18326;16651;19977;17402;20464;18689;21872;18379;20758
TDU-041;Diabetes mellitus;11353;12542;12167;13640;12428;13556;13078;13813;12684;12874
TDU-05;Psychische und Verhaltensstörungen;21766;36073;22692;36921;22848;37142;25941;42836;26928;42517
TDU-051;Psychische und Verhaltensstörungen durch Alkohol;3760;1046;3850;1162;3842;1122;4265;1206;4284;1301
TDU-052;Psych. u. Verhaltensstörungen d.a.psychotr. Subst.;507;155;552;143;499;142;527;159;684;181
TDU-06;Krankheiten d. Nervensystems u. d. Sinnesorgane;17207;17018;17864;17566;17974;17804;19697;19583;19875;19350
TDU-061;Meningitis;69;57;47;55;54;47;68;70;100;84
TDU-07;Krankheiten des Kreislaufsystems;152615;178596;157556;180445;159846;180773;167483;190736;163887;184425
TDU-071;Hypertonie (Hochdruckkrankheit);14116;29161;16118;31782;16529;32332;17836;34487;17418;33360
TDU-072;Ischämische Herzkrankheiten;66532;52550;68599;52863;68900;52272;71461;54523;68627;51168
TDU-07201;Akuter oder rezidivierender Myokardinfarkt;25921;18361;26444;18085;27107;18074;27750;18858;26411;17428
TDU-073;Sonstige Formen der Herzkrankheit;30488;43117;31084;42474;31899;43114;34008;46743;34276;46483
TDU-074;Sonstige Krankheiten des Endokards;6440;8716;6219;8485;6560;8428;6919;9004;7311;9048
TDU-075;Zerebrovaskuläre Krankheiten;22942;30177;23329;29979;23487;29595;24623;30642;23793;29362
TDU-07501;Schlaganfall, nicht als Blutung oder Infarkt bez.;4159;6543;4326;6592;4291;6338;4323;6239;3997;5718
TDU-076;Krankheiten der Arterien, Arteriolen und Kapillare;6155;5950;5996;5894;6061;5725;5989;5528;5822;5273
TDU-08;Krankheiten des Atmungssystems;36087;30934;33905;27443;31841;25475;36764;30869;38961;33541
TDU-081;Grippe;900;759;730;577;22;16;807;934;643;624
TDU-082;Pneumonie;9527;8987;8611;7288;7831;6268;9258;7499;10573;9083
TDU-083;Chronische Krankheiten der unteren Atemwege;18847;16247;17870;15052;17285;14724;19095;17282;19733;18355
TDU-084;Asthma;403;674;389;657;406;643;414;787;483;818
TDU-09;Krankheiten des Verdauungssystems;21959;19462;22667;19840;23508;20209;24767;21270;24450;21226
TDU-091;Ulcus ventriculi, duodeni, pepticum, pept. jejuni;1181;1256;1275;1294;1300;1345;1435;1429;1297;1453
TDU-092;Krankheiten der Leber;10130;5440;10569;5717;10987;5919;11327;5939;10928;5862
TDU-09201;Alkoh.Leberkh.,Chron.Hepatitis,Leberfibr.u.-zirr.;9403;4620;9817;4883;10189;5062;10415;5049;10025;4911
TDU-10;Krankheiten der Haut und der Unterhaut;687;1032;705;1016;710;1047;784;1172;955;1264
TDU-11;Krankh. des Muskel-Skelett-Systems u. Bindegewebes;2059;3308;2233;3480;2307;3718;2618;4208;2817;4399
TDU-111;Chronische Polyarthritis und Arthrose;451;941;487;952;449;1038;554;1127;542;1124
TDU-12;Krankheiten des Urogenitalsystems;11085;13655;11537;13853;12065;14207;13357;15580;13374;15439
TDU-121;Krankheiten der Niere;8077;10202;8072;10191;8416;10377;9094;11192;8995;11071
TDU-13;Schwangerschaft, Geburt und Wochenbett;-;25;-;28;-;28;-;30;-;29
TDU-14;Best.Zustände mit Ursprung in der Perinatalperiode;846;626;737;614;777;565;757;615;777;594
TDU-15;Angeb. Fehlbildungen,Deformitäten,Chromosomenanom.;1114;970;1054;976;1116;1011;1207;1060;1164;1092
TDU-151;Angeborene Fehlbildungen des Nervensystems;98;105;77;83;86;97;93;97;97;90
TDU-152;Angeborene Fehlbildungen des Kreislaufsystems;316;285;303;281;337;269;383;302;377;308
TDU-16;Symptome und abnorme klinische und Laborbefunde;21822;15590;20419;14810;22638;16091;23858;17213;20022;14299
TDU-161;Plötzlicher Kindstod;75;32;54;30;47;35;46;45;47;36
TDU-162;Sonst. ungenau bezeichnete u. unbek. Todesursachen;20287;12781;18812;11933;20927;12891;22021;13904;18204;11087
TDU-17;Äußere Ursachen von Morbidität und Mortalität;24550;17229;24579;17215;25394;17806;27811;20101;28458;20938
TDU-171;Unfälle einschließlich Spätfolgen;16077;13988;16055;13860;17189;14403;18789;16428;19519;17179
TDU-172;Transportmittelunfälle;2547;826;2319;722;2269;639;2375;766;2308;798
TDU-173;Stürze;7991;8666;8383;8828;9020;9163;9966;10345;10289;10556
TDU-174;Ertrinken und Untergehen;279;120;265;106;281;111;321;123;320;145
TDU-175;Exposition gegenüber Rauch, Feuer und Flammen;222;121;217;119;182;139;203;130;190;93
TDU-176;Akzid. Vergiftung: schädl. Substanzen (inkl. Exp.);882;326;896;307;917;330;1030;338;1046;386
TDU-177;Vorsätzliche Selbstbeschädigung;6842;2199;6944;2262;6805;2410;7504;2615;7478;2826
TDU-178;Tätlicher Angriff;180;144;194;170;150;164;164;167;173;156
TDU-179;Ereignis, dessen nähere Umstände unbestimmt sind;1379;853;1343;896;1102;699;1305;846;1245;756
TDU-18;COVID-19, Virus nachgewiesen;-;-;20247;18263;38862;31897;27973;24056;14585;11094
TDU-19;COVID-19, Virus nicht nachgewiesen;-;-;693;555;306;266;166;162;40;49
;Insgesamt;465885;473635;492797;492775;515559;508128;532333;534008;514230;513976
__________
© Statistisches Bundesamt (Destatis), 2024
Stand: 02.09.2024 / 20:06:13
